"Time stamp","System power generated | (kW)","Irradiance GHI calculated | (W/m2)","Inverter DC input power | (kW)"
"1",-7.96385,0,0
"2",-7.96385,0,0
"3",-7.96385,0,0
"4",-7.96385,0,0
"5",-7.96385,0,0
"6",-7.96385,0,0
"7",-7.96385,0,0
"8",10312.1,28.4355,10707.9
"9",55139.7,196.149,56596.1
"10",65780,371.577,67596
"11",64542.1,511.515,66311.8
"12",60361.5,590.346,61984.4
"13",59163.6,608.514,60745
"14",62499.4,560.346,64194.1
"15",66296,449.581,68125.7
"16",63432.9,289.202,65162.4
"17",43989.2,106.389,45111.3
"18",-7.96385,0,0
"19",-7.96385,0,0
"20",-7.96385,0,0
"21",-7.96385,0,0
"22",-7.96385,0,0
"23",-7.96385,0,0
"24",-7.96385,0,0
"25",-7.96385,0,0
"26",-7.96385,0,0
"27",-7.96385,0,0
"28",-7.96385,0,0
"29",-7.96385,0,0
"30",-7.96385,0,0
"31",-7.96385,0,0
"32",2157.96,20.3147,2436.72
"33",38130.8,163.59,39099.5
"34",66428.1,373.446,68269.8
"35",65062.5,511.027,66853
"36",47053.2,457.47,48260.1
"37",46566.5,474.348,47758.2
"38",56411.9,504.449,57903.8
"39",40890.9,319.996,41924.7
"40",50870.8,251.739,52190.2
"41",17945.8,68.8189,18469.4
"42",-7.96385,0,0
"43",-7.96385,0,0
"44",-7.96385,0,0
"45",-7.96385,0,0
"46",-7.96385,0,0
"47",-7.96385,0,0
"48",-7.96385,0,0
"49",-7.96385,0,0
"50",-7.96385,0,0
"51",-7.96385,0,0
"52",-7.96385,0,0
"53",-7.96385,0,0
"54",-7.96385,0,0
"55",-7.96385,0,0
"56",7421.03,24.4834,7772.47
"57",8519.85,72.5624,8886.56
"58",8388.05,93.84,8751.32
"59",27379.3,269.104,28087.8
"60",45120.5,447.558,46269.2
"61",56601.2,581.942,58097.3
"62",60725.3,546.804,62357.8
"63",47777.4,338.555,49000.8
"64",52523.2,247.412,53891.9
"65",42126.6,106.297,43197
"66",-7.96385,0,0
"67",-7.96385,0,0
"68",-7.96385,0,0
"69",-7.96385,0,0
"70",-7.96385,0,0
"71",-7.96385,0,0
"72",-7.96385,0,0
"73",-7.96385,0,0
"74",-7.96385,0,0
"75",-7.96385,0,0
"76",-7.96385,0,0
"77",-7.96385,0,0
"78",-7.96385,0,0
"79",-7.96385,0,0
"80",10459,28.2389,10856.9
"81",54984.5,196.03,56435.5
"82",65405.5,370.326,67207
"83",63823.6,505.766,65566.1
"84",59705.1,584.911,61303.5
"85",58214.9,602.234,59762.4
"86",61133,553.852,62778.2
"87",64876.5,445.471,66652.6
"88",59900.4,284.574,61506
"89",41569.1,107.316,42622.5
"90",-7.96385,0,0
"91",-7.96385,0,0
"92",-7.96385,0,0
"93",-7.96385,0,0
"94",-7.96385,0,0
"95",-7.96385,0,0
"96",-7.96385,0,0
"97",-7.96385,0,0
"98",-7.96385,0,0
"99",-7.96385,0,0
"100",-7.96385,0,0
"101",-7.96385,0,0
"102",-7.96385,0,0
"103",-7.96385,0,0
"104",194.797,8,440.368
"105",320.449,7,568.301
"106",408.071,8,657.508
"107",1103.21,16,1364.07
"108",1468.1,19,1734.03
"109",3462.29,38.8039,3755.96
"110",1321.86,18,1585.2
"111",1855.54,25,2126.6
"112",2391.72,31,2670.44
"113",1038.05,16,1297.38
"114",-7.96385,0,0
"115",-7.96385,0,0
"116",-7.96385,0,0
"117",-7.96385,0,0
"118",-7.96385,0,0
"119",-7.96385,0,0
"120",-7.96385,0,0
"121",-7.96385,0,0
"122",-7.96385,0,0
"123",-7.96385,0,0
"124",-7.96385,0,0
"125",-7.96385,0,0
"126",-7.96385,0,0
"127",-7.96385,0,0
"128",5817.97,24.7146,6145.69
"129",5298.92,60,5618.81
"130",7672.54,88,8026.18
"131",15896.7,172.964,16382.6
"132",14234.4,152,14691
"133",10617.4,112,11014.8
"134",6651.73,76,6989.25
"135",13566,118.69,14011.3
"136",2286.69,30,2562.92
"137",1033.21,16,1291.62
"138",-7.96385,0,0
"139",-7.96385,0,0
"140",-7.96385,0,0
"141",-7.96385,0,0
"142",-7.96385,0,0
