"Time stamp","System power generated | (kW)","Wind speed | (m/s)","Internal wake loss percent | (%)","Air temperature | ('C)"
"Jan 1, 12:00 am",75171.2,7.09,2.50089,-6.72
"Jan 1, 01:00 am",119666,8.19,1.87336,-7.04
"Jan 1, 02:00 am",126050,8.36,2.10162,-7.17
"Jan 1, 03:00 am",117259,8.14,2.25801,-7.28
"Jan 1, 04:00 am",124370,8.31,1.84597,-7.33
"Jan 1, 05:00 am",104993,7.83,1.63647,-7.21
"Jan 1, 06:00 am",102426,7.75,1.6345,-7.23
"Jan 1, 07:00 am",103063,7.77,1.56312,-7.08
"Jan 1, 08:00 am",106983,7.89,1.68095,-6.84
"Jan 1, 09:00 am",92321.4,7.52,2.42948,-6.41
"Jan 1, 10:00 am",91602.8,7.51,2.41212,-5.97
"Jan 1, 11:00 am",85602,7.38,1.94043,-5.32
"Jan 1, 12:00 pm",92998.4,7.55,2.34682,-4.85
"Jan 1, 01:00 pm",85329.9,7.38,1.95079,-4.67
"Jan 1, 02:00 pm",87471.5,7.44,2.43186,-4.46
"Jan 1, 03:00 pm",114431,8.1,2.08427,-4.4
"Jan 1, 04:00 pm",123347,8.32,1.89961,-4.44
"Jan 1, 05:00 pm",143208,8.79,2.2656,-4.87
"Jan 1, 06:00 pm",182906,9.65,2.15784,-5.42
"Jan 1, 07:00 pm",201789,10.07,1.92738,-5.9
"Jan 1, 08:00 pm",187115,9.73,1.74005,-6.05
"Jan 1, 09:00 pm",181095,9.6,2.2914,-6.42
"Jan 1, 10:00 pm",251294,11.22,1.41101,-6.99
"Jan 1, 11:00 pm",138448,8.66,2.57723,-7.37
"Jan 2, 12:00 am",222422,10.52,1.88553,-8.21
"Jan 2, 01:00 am",195709,9.91,1.90886,-8.52
"Jan 2, 02:00 am",180155,9.54,1.91277,-8.99
"Jan 2, 03:00 am",199933,9.97,1.48848,-9.49
"Jan 2, 04:00 am",212510,10.26,1.3263,-9.51
"Jan 2, 05:00 am",190424,9.76,1.47733,-9.36
"Jan 2, 06:00 am",151180,8.91,1.79542,-9.21
"Jan 2, 07:00 am",156384,9.02,1.78844,-9.5
"Jan 2, 08:00 am",134945,8.53,1.92189,-9.65
"Jan 2, 09:00 am",143841,8.73,1.6307,-9.67
"Jan 2, 10:00 am",115313,8.07,1.99391,-9.06
"Jan 2, 11:00 am",99191.2,7.65,1.89066,-8.34
"Jan 2, 12:00 pm",255502,11.28,1.01854,-7.78
"Jan 2, 01:00 pm",302531,12.74,0.845002,-8.33
"Jan 2, 02:00 pm",188081,9.81,3.652,-7.93
"Jan 2, 03:00 pm",203376,10.16,3.81805,-8.44
"Jan 2, 04:00 pm",182126,9.62,3.14649,-8.85
"Jan 2, 05:00 pm",201842,10.11,3.95045,-9.4
"Jan 2, 06:00 pm",154736,8.96,1.75515,-9.76
"Jan 2, 07:00 pm",234539,10.72,0.947558,-11.93
"Jan 2, 08:00 pm",225896,10.48,1.4474,-13.18
