table,value (units),state,positions/circuit,design,250kV,400kV,500kV,600kV,640kV
prioritywire,resistance 20C (ohms/km),NA,1,2021PriorityWire&Cable,0.03564,0.03564,0.03564,0.03564,0.0726
prioritywire,Capacity (kA),NA,1,2021PriorityWire&Cable,1.36,1.36,1.36,1.36,0.9
3.1-6,Conductor size (kcmil),NA,1,NA,1590,1590,1590,1590,795
3.1-6,Conductor type,NA,1,NA,ACSR,ACSR,ACSR,ACSR,ACSR
3.1-6,Conductor quantity per pole,NA,1,NA,1,2,2,2,6
3.1-6,Power tranfer (MW),NA,1,NA,500,1500,2000,2400,6000
2.2-8,Steel weight (lbs.),NA,1,Tangent,10227,15341,16875,20250,36036
2.2-8,Foundation size (Cu. Yd),NA,1,Tangent,13,19,21,25,43
2.2-8,Material,NA,1,Tangent,22099,33149,36464,43756,133654
2.2-8,Installation,NA,1,Tangent,33149,49724,54696,65636,200482
2.2-8,Hardware,NA,1,Tangent,5183,6602,7182,7529,19211
2.2-8,Foundation,NA,1,Tangent,19737,29604,32565,39078,79400
2.2-8,Steel weight (lbs.),NA,1,Running,16751,22614,24875,29850,93870
2.2-8,Foundation size (Cu. Yd),NA,1,Running,31,41,45,54,90
2.2-8,Material,NA,1,Running,36196,48865,53750,64501,237622
2.2-8,Installation,NA,1,Running,54294,73297,80626,96752,356427
2.2-8,Hardware,NA,1,Running,6480,8253,8977,9411,20341
2.2-8,Foundation,NA,1,Running,47458,64069,70475,84571,167910
2.2-8,Steel weight (lbs.),NA,1,Deadend,19318,26080,28688,34425,113687
2.2-8,Foundation size (Cu. Yd),NA,1,Deadend,40,55,60,72,176
2.2-8,Material,NA,1,Deadend,41743,56353,61989,74387,287780
2.2-8,Installation,NA,1,Deadend,62615,84530,92984,111580,431669
2.2-8,Hardware,NA,1,Deadend,10222,24759,26931,28234,99898
2.2-8,Foundation,NA,1,Deadend,62842,84836,93320,111983,325745
2.4-1,Power Transfer (MW),NA,NA,LCC,500,1500,2000,2400,3000
2.4-1,Assumed Reactive Power Need (MVAR),NA,NA,LCC,167,500,667,800,1000
2.4-1,Ground electrode line (miles),NA,NA,LCC,20,20,20,20,20
2.4-1,Valve hall ($M),NA,NA,LCC,34.7,127.4,173.7,214.3,267.9
2.4-1,AC filters ($M),NA,NA,LCC,3.5,12.7,17.4,21.4,26.8
2.4-1,Reactive power ($M),NA,NA,LCC,19.1,57.1,76.2,91.4,114.2
2.4-1,AC Substation ($M),NA,NA,LCC,12.4,18.2,26.4,26.4,35.3
2.4-1,Ground electrode ($M),NA,NA,LCC,3.1,4.2,4.3,4.5,4.7
2.4-1,Ground electrode line ($M),NA,NA,LCC,4.6,11.6,13.9,17.4,18.8
2.4.2,Power Transfer (MW),NA,NA,VSC,500,1500,2000,2400,3000
2.4.2,Ground electrode line (miles),NA,NA,VSC,20,20,20,20,20
2.4.2,Valve hall ($M),NA,NA,VSC,83.4,266.4,359.1,440.2,535.7
2.4.2,AC Substation ($M),NA,NA,VSC,12.4,18.2,26.4,26.4,35.3
2.4.2,Ground electrode ($M),NA,NA,VSC,3.1,4.2,4.3,4.5,4.7
2.4.2,Ground electrode ($M),NA,NA,VSC,4.6,11.6,13.9,17.4,18.8
3.1-4,Structures per mile,NA,NA,Tangent,4.5,4,3.5,3,3.5
3.1-4,Structures per mile,NA,NA,Running,0.5,0.5,0.5,0.5,0.25
3.1-4,Structures per mile,NA,NA,Deadend,0.25,0.25,0.25,0.25,0.125
3.1-4,Structures per mile,NA,NA,Angled Deadend,0.25,0.25,0.25,0.25,0.125
4.1-4,new circuit (M$/mile),Arkansas,2,HVDC,2.3,2.7,2.8,3,5.5
4.1-4,new circuit (M$/mile),Illinois,2,HVDC,2.3,2.7,2.9,3.1,5.6
4.1-4,new circuit (M$/mile),Indiana,2,HVDC,2.2,2.6,2.7,2.9,5.4
4.1-4,new circuit (M$/mile),Iowa,2,HVDC,2.3,2.7,2.8,3,5.5
4.1-4,new circuit (M$/mile),Kentucky,2,HVDC,2.4,2.9,3,3.2,5.8
4.1-4,new circuit (M$/mile),Louisiana,2,HVDC,2.7,3.3,3.5,3.7,6.3
4.1-4,new circuit (M$/mile),Michigan,2,HVDC,2.4,2.9,3,3.2,5.8
4.1-4,new circuit (M$/mile),Minnesota,2,HVDC,2.4,2.8,2.9,3.1,5.7
4.1-4,new circuit (M$/mile),Mississippi,2,HVDC,2.7,3.2,3.4,3.7,6.2
4.1-4,new circuit (M$/mile),Missouri,2,HVDC,2.3,2.6,2.8,2.9,5.5
4.1-4,new circuit (M$/mile),Montana,2,HVDC,2.1,2.3,2.5,2.6,5.1
4.1-4,new circuit (M$/mile),North Dakota,2,HVDC,2.1,2.4,2.5,2.7,5.2
4.1-4,new circuit (M$/mile),South Dakota,2,HVDC,2.1,2.4,2.5,2.7,5.2
4.1-4,new circuit (M$/mile),Texas,2,HVDC,2.6,3.1,3.3,3.5,6.1
4.1-4,new circuit (M$/mile),Wisconsin,2,HVDC,2.4,2.9,3,3.2,5.8
4.2-3,new converter (M$),NA,NA,LCC,119,355,479,577,718
4.2-3,new converter (M$),NA,NA,VSC,159,461,620,750,914
