Name,Year,MW,Option/Variant,Cost,Unit,N^k_p (MEuro/GW),N^k_0 (MEuro),S^k_p (MEuro/GW),S^k_0 (MEuro),Source
RealiseGrid^a ,2011,,Converter costs,83,MEuro/GW,83,0,0,28,[4]
RealiseGrid^a ,2011,,Platform costs,28,MEuro,83,0,0,28,[4]
Windspeed^a ,2011,600,600 MW off,143.4,MEuro,216,6.5,23,17.3,[5]
Windspeed^a ,2011,,Installation off,23.8,MEuro,216,6.5,23,17.3,[5]
Windspeed^a ,2011,600,600 MW on,129.6,MEuro,216,6.5,23,17.3,[5]
Windspeed^a ,2011,,Installation on,6.5,MEuro,216,6.5,23,17.3,[5]
ENTSO-E ,2011,500,VSC 500 MW,83.5,MEuro,58.9,54.9,183.5,-6.8,[6]
ENTSO-E ,2011,850,VSC 850 MW,101.5,MEuro,58.9,54.9,183.5,-6.8,[6]
ENTSO-E ,2011,1250,VSC 1250 MW,135.5,MEuro,58.9,54.9,183.5,-6.8,[6]
ENTSO-E ,2011,2000,VSC 2000 MW,170,MEuro,58.9,54.9,183.5,-6.8,[6]
ENTSO-E ,2011,400,Platform 400 MW,66.6,MEuro,58.9,54.9,183.5,-6.8,[6]
ENTSO-E ,2011,800,Platform 800 MW,140,MEuro,58.9,54.9,183.5,-6.8,[6]
Ergun et al.^b ,2012,,Power-dependent converter station cost,90,MEuro/GW,90,18,0,24,[7]
Ergun et al.^b ,2012,,Fixed onshore converter station costs,18,MEuro,90,18,0,24,[7]
Ergun et al.^b ,2012,,Fixed offshore converter station costs,42,MEuro,90,18,0,24,[7]
ETYS ,2013,500,500 MW VSC,61.26,MEuro,60.8,63.17,216.6,143.66,[8]
ETYS ,2013,850,850 MW VSC,80.21,MEuro,60.8,63.17,216.6,143.66,[8]
ETYS ,2013,1250,1250 MW VSC,98.34,MEuro,60.8,63.17,216.6,143.66,[8]
ETYS ,2013,2000,2000 MW VSC,124.54,MEuro,60.8,63.17,216.6,143.66,[8]
ETYS ,2013,1000,1000 MW platform,237.4,MEuro,60.8,63.17,216.6,143.66,[8]
